sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,SOA,acc,RT,block,problem_size,timing
sj00,31,male,8,6,48,48,53,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,1288,2,large,ok
sj00,31,male,6,7,42,42,48,0,product,neighbour,consistent,neigh_con,SOA_120,0,1051,2,large,ok
sj00,31,male,8,5,40,40,47,0,product,unrelated,consistent,unrel_con,SOA_070,1,518,2,large,ok
sj00,31,male,6,6,41,36,36,0,unrelated,product,NA,NA,SOA_070,1,764,2,large,ok
sj00,31,male,2,5,10,10,-1,1,filler_product,neutral,NA,neutral,SOA_070,0,520,2,small,ok
sj00,31,male,6,8,48,48,54,0,product,neighbour,inconsistent,neigh_inc,SOA_170,0,1220,2,large,ok
sj00,31,male,7,6,37,42,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,1188,2,large,ok
sj00,31,male,8,5,33,40,40,0,unrelated,product,NA,NA,SOA_120,1,749,2,large,ok
sj00,31,male,5,5,25,25,-1,0,product,neutral,NA,neutral,SOA_120,1,1517,2,small,ok
sj00,31,male,6,7,48,42,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,1483,2,large,ok
sj00,31,male,5,6,38,30,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,759,2,small,ok
sj00,31,male,8,4,28,32,32,0,neighbour,product,NA,NA,SOA_120,0,1236,2,large,ok
sj00,31,male,5,6,38,30,30,0,unrelated,product,NA,NA,SOA_120,1,922,2,small,ok
sj00,31,male,5,8,47,40,40,0,unrelated,product,NA,NA,SOA_120,1,1030,2,large,ok
sj00,31,male,3,4,12,12,-1,1,filler_product,neutral,NA,neutral,SOA_070,0,884,2,small,ok
sj00,31,male,7,6,37,42,42,0,unrelated,product,NA,NA,SOA_120,1,1192,2,large,ok
sj00,31,male,6,6,31,36,36,0,unrelated,product,NA,NA,SOA_170,1,1015,2,large,ok
sj00,31,male,5,8,40,40,-1,0,product,neutral,NA,neutral,SOA_120,1,537,2,large,ok
sj00,31,male,4,7,34,28,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,1067,2,small,ok
sj00,31,male,7,3,18,21,-1,0,neighbour,neutral,NA,neutral,SOA_070,1,763,2,small,ok
sj00,31,male,7,6,42,42,-1,0,product,neutral,NA,neutral,SOA_170,1,1127,2,large,ok
sj00,31,male,6,3,17,18,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,1003,2,small,ok
sj00,31,male,5,6,30,30,22,0,product,unrelated,inconsistent,unrel_inc,SOA_120,1,951,2,small,ok
sj00,31,male,8,5,40,40,48,0,product,neighbour,consistent,neigh_con,SOA_170,1,886,2,large,ok
sj00,31,male,5,5,20,25,-1,0,neighbour,neutral,NA,neutral,SOA_170,0,1018,2,small,ok
sj00,31,male,4,7,32,28,28,0,neighbour,product,NA,NA,SOA_170,0,1372,2,small,ok
sj00,31,male,3,6,18,18,21,0,product,neighbour,inconsistent,neigh_inc,SOA_170,0,630,2,small,ok
sj00,31,male,3,5,23,15,15,0,unrelated,product,NA,NA,SOA_120,1,661,2,small,ok
sj00,31,male,8,5,32,40,-1,0,neighbour,neutral,NA,neutral,SOA_120,1,1061,2,large,ok
sj00,31,male,7,7,49,49,46,0,product,unrelated,consistent,unrel_con,SOA_070,1,821,2,large,ok
sj00,31,male,5,4,17,20,-1,0,unrelated,neutral,NA,neutral,SOA_070,1,757,2,small,ok
sj00,31,male,7,6,42,42,-1,0,product,neutral,NA,neutral,SOA_070,0,1468,2,large,ok
sj00,31,male,3,8,27,24,-1,1,filler_neighbour,neutral,NA,neutral,SOA_120,1,1179,2,small,ok
sj00,31,male,5,3,15,15,-1,0,product,neutral,NA,neutral,SOA_070,1,1124,2,small,ok
sj00,31,male,4,8,29,32,32,0,unrelated,product,NA,NA,SOA_120,1,1112,2,large,ok
sj00,31,male,3,7,21,21,-1,0,product,neutral,NA,neutral,SOA_070,1,902,2,small,ok
sj00,31,male,4,4,12,16,-1,0,neighbour,neutral,NA,neutral,SOA_070,0,1094,2,small,ok
sj00,31,male,6,6,42,36,36,0,neighbour,product,NA,NA,SOA_120,1,696,2,large,ok
sj00,31,male,6,3,15,18,-1,0,neighbour,neutral,NA,neutral,SOA_120,1,1035,2,small,ok
sj00,31,male,5,7,35,35,40,0,product,neighbour,inconsistent,neigh_inc,SOA_120,1,1465,2,large,ok
sj00,31,male,7,7,49,49,-1,0,product,neutral,NA,neutral,SOA_070,1,921,2,large,ok
