sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,SOA,acc,RT,block,problem_size,timing
sj02,18,male,7,7,42,49,-1,0,not_product,letter,SOA_170,1,585,2,large,ok
sj02,18,male,3,5,10,15,-1,0,not_product,letter,SOA_170,1,585,2,small,ok
sj02,18,male,3,5,15,15,20,0,product,number,SOA_170,1,889,2,small,ok
sj02,18,male,5,8,40,40,-1,0,product,letter,SOA_220,1,638,2,large,ok
sj02,18,male,4,4,13,16,12,0,not_product,number,SOA_220,1,683,2,small,ok
sj02,18,male,6,8,42,48,54,0,not_product,number,SOA_050,1,791,2,large,ok
sj02,18,male,4,5,23,20,-1,0,not_product,letter,SOA_050,1,533,2,small,ok
sj02,18,male,6,6,36,36,42,0,product,number,SOA_050,1,552,2,large,ok
sj02,18,male,4,4,20,16,13,0,not_product,number,SOA_170,1,806,2,small,ok
sj02,18,male,6,8,54,48,53,0,not_product,number,SOA_220,0,970,2,large,ok
sj02,18,male,4,5,20,20,17,0,product,number,SOA_050,1,581,2,small,ok
sj02,18,male,4,8,32,32,37,0,product,number,SOA_050,1,516,2,large,ok
sj02,18,male,4,5,20,20,-1,0,product,letter,SOA_050,0,506,2,small,ok
sj02,18,male,4,7,26,28,32,0,not_product,number,SOA_220,0,747,2,small,ok
sj02,18,male,3,7,23,21,-1,0,not_product,letter,SOA_050,1,619,2,small,ok
sj02,18,male,4,7,24,28,-1,0,not_product,letter,SOA_050,1,547,2,small,ok
sj02,18,male,4,4,23,16,-1,0,not_product,letter,SOA_050,0,507,2,small,ok
sj02,18,male,3,7,24,21,19,0,not_product,number,SOA_220,0,203,2,small,ok
sj02,18,male,3,5,20,15,10,0,not_product,number,SOA_050,0,503,2,small,ok
sj02,18,male,6,7,47,42,-1,0,not_product,letter,SOA_220,1,632,2,large,ok
sj02,18,male,6,8,53,48,-1,0,not_product,letter,SOA_050,1,598,2,large,ok
sj02,18,male,4,4,16,16,12,0,product,number,SOA_220,0,460,2,small,ok
sj02,18,male,7,7,49,49,52,0,product,number,SOA_220,0,468,2,large,ok
sj02,18,male,3,5,15,15,-1,0,product,letter,SOA_050,0,844,2,small,ok
sj02,18,male,3,5,15,15,10,0,product,number,SOA_050,0,600,2,small,ok
sj02,18,male,7,7,56,49,46,0,not_product,number,SOA_170,0,501,2,large,ok
sj02,18,male,3,6,18,18,-1,0,product,letter,SOA_050,1,517,2,small,ok
sj02,18,male,6,7,36,42,-1,0,not_product,letter,SOA_050,1,347,2,large,ok
sj02,18,male,5,7,31,35,41,0,not_product,number,SOA_220,0,651,2,large,ok
sj02,18,male,4,7,34,28,-1,0,not_product,letter,SOA_220,1,550,2,small,ok
